business_id,business_name,industry_group,zip,neighborhood,status
1,BODYCARE TREATMENT INC,Food & Beverage,33125,Little Havana,Active
2,PROFESSIONAL CUT UNISEX INC,Food & Beverage,33125,Little Havana,Active
3,IBM PATRON CORP,Food & Beverage,33125,Little Havana,Active
4,DIAMANTE ROSA BEAUTY SALON CORP,Food & Beverage,33125,Little Havana,Active
5,NICOLE'S BEAUTY SALON CORP,Food & Beverage,33125,Little Havana,Active
6,COCO CAFE LLC,Food & Beverage,33125,Little Havana,Active
7,LA FRAGANCIA BARBER SHOP CORP,Food & Beverage,33125,Little Havana,Active
8,SASSY HAIR SALON,Food & Beverage,33125,Little Havana,Active
9,MATTRESS ONLY,Retail,33125,Little Havana,Active
10,ELITE WIRELESS GROUP LLC,Retail,33125,Little Havana,Active
11,ORION,Retail,33125,Little Havana,Active
12,E & I CASH INC,Retail,33125,Little Havana,Active
13,FANATICS RETAIL GROUP CONCESSIONS LLC,Retail,33125,Little Havana,Active
14,LA ESTRELLA DE ORO 5,Retail,33125,Little Havana,Active
15,J MOBIL INC,Retail,33125,Little Havana,Active
16,MAGIC CITY CASINO,Retail,33125,Little Havana,Active
17,FILIGRAN DECOR LLC,Real Estate,33125,Little Havana,Active
18,FUENT GON LLC,Real Estate,33125,Little Havana,Active
19,REEF KITCHENS,Real Estate,33125,Little Havana,Active
20,ARIELS JEWELRY NO 4 INC,Real Estate,33125,Little Havana,Active
21,BALADO NATIONAL TIRES INC,Real Estate,33125,Little Havana,Active
22,JUST COLOR LLC,Real Estate,33125,Little Havana,Active
23,INSTALOAN,Real Estate,33125,Little Havana,Active
24,DAICRI USA CORP,Real Estate,33125,Little Havana,Active
25,ZERPA ARELYS LMHC,Healthcare,33125,Little Havana,Active
26,ILIET MED & SPA LLC,Healthcare,33125,Little Havana,Active
27,REALES ALBERTO JESUS MD,Healthcare,33125,Little Havana,Active
28,MIND LIBERTY CENTER INC,Healthcare,33125,Little Havana,Active
29,LEGACY HOME CARE SERVICES LLC,Healthcare,33125,Little Havana,Active
30,DOMINGUEZ RENATO CARLOS MD,Healthcare,33125,Little Havana,Active
31,FELDO HEALTH RESEARCH SERVICES INC,Healthcare,33125,Little Havana,Active
32,NUEVA VIDA DIALYSIS CENTER LLC,Healthcare,33125,Little Havana,Active
33,MISTER AMADEOS RETIREMENT HOME INC,Technology,33125,Little Havana,Active
34,RAMOS LOCKSMITH GROUP CORP,Technology,33125,Little Havana,Active
35,RESIDENTIAL HOME FOR ADULT CARE 1 INC,Technology,33125,Little Havana,Active
36,MIAMI BRIDGE YOUTH & FAMILY SERV INC,Technology,33125,Little Havana,Active
37,KEKO LOCKSMITH US LLC,Technology,33125,Little Havana,Active
38,LEYI ADULT CARE INC,Technology,33125,Little Havana,Active
39,DP REAL ESTATE HOLDINGS LLC,Technology,33125,Little Havana,Active
40,CITIZENS FOR A BETTER SOUTH FLORIDA INC,Technology,33125,Little Havana,Active
41,CUBILLO POOL TILE AND COPING CORP,Construction,33125,Little Havana,Active
42,BISMART CORP,Construction,33125,Little Havana,Active
43,ALL DADE GENERAL CONSTRUCTION INC,Construction,33125,Little Havana,Active
44,MIAMI EMERGENCY PLUMBING,Construction,33125,Little Havana,Active
45,MR MOLDING CORP,Construction,33125,Little Havana,Active
46,A K O PLUMBING CORP,Construction,33125,Little Havana,Active
47,DADE PROFESSIONAL ROOFING CORP,Construction,33125,Little Havana,Active
48,ALMENDAREZ ROOFING CORP,Construction,33125,Little Havana,Active
49,SOSA LAW PLLC,Professional Services,33125,Little Havana,Active
50,VANTAGEPOINT CONSULTING GROUP LLC,Professional Services,33125,Little Havana,Active
51,BEST NATIONAL INSURANCE CORP,Professional Services,33125,Little Havana,Active
52,USA LAW GROUP LLC,Professional Services,33125,Little Havana,Active
53,THE LAW OFFICES OF DAX SICRE PLLC,Professional Services,33125,Little Havana,Active
54,LUMIA RISK ROLUTIONS LLC,Professional Services,33125,Little Havana,Active
55,TWO MINDS BRANDING CORP,Professional Services,33125,Little Havana,Active
56,SICRE DAX C ESQ,Professional Services,33125,Little Havana,Active
57,ESCAMBRAY LLC,Beauty & Personal Care,33125,Little Havana,Active
58,1194 MIA CORP,Beauty & Personal Care,33125,Little Havana,Active
59,ARIDANE LLC,Beauty & Personal Care,33125,Little Havana,Active
60,TRAJAN 1630 LLC,Beauty & Personal Care,33125,Little Havana,Active
61,PICA INVESTMENT INC,Beauty & Personal Care,33125,Little Havana,Active
62,MONEX PROPERTIES LLC,Beauty & Personal Care,33125,Little Havana,Active
63,EL 72 LLC,Beauty & Personal Care,33125,Little Havana,Active
64,RENTAL PROPERTY INVESTORS INC,Beauty & Personal Care,33125,Little Havana,Active
