zip,neighborhood,active_businesses,hhi,classification,dominant_industry
33125,Little Havana,2082,0.2292,Specialised,Other (unclassified)
33126,Westchester,4867,0.3209,Specialised,Other (unclassified)
33127,Wynwood,2076,0.227,Specialised,Other (unclassified)
33128,Downtown,430,0.2609,Specialised,Other (unclassified)
33130,Brickell,2957,0.2688,Specialised,Other (unclassified)
33131,Brickell Key,7478,0.4909,Specialised,Other (unclassified)
33132,Edgewater,2075,0.2719,Specialised,Other (unclassified)
33133,Coconut Grove,2824,0.3248,Specialised,Other (unclassified)
33134,Coral Gables,7080,0.4031,Specialised,Other (unclassified)
33137,Design District,2293,0.2401,Specialised,Other (unclassified)
33139,South Beach,3812,0.2424,Specialised,Other (unclassified)
33142,Allapattah,3895,0.2509,Specialised,Other (unclassified)
33145,Shenandoah,1980,0.3179,Specialised,Other (unclassified)
33155,Kendall,4795,0.276,Specialised,Other (unclassified)
33166,Doral,7931,0.3198,Specialised,Other (unclassified)
